n,an,bn,xn,f(an),f(bn),f(xn),|an-bn|,Emax
0,4,5,4.5,49.5981500331442,-5,40.0085656502609,1,0.5
1,4.5,5,4.75,40.0085656502609,-5,23.8960711317969,0.5,0.25
2,4.75,5,4.875,23.8960711317969,-5,11.3717691513523,0.25,0.125
3,4.875,5,4.9375,11.3717691513523,-5,3.71382877214845,0.125,0.0625
4,4.9375,5,4.96875,3.71382877214845,-5,-0.504782305129919,0.0625,0.03125
5,4.9375,4.96875,4.953125,3.71382877214845,-0.504782305129919,1.63828870624489,0.03125,0.015625
6,4.953125,4.96875,4.9609375,1.63828870624489,-0.504782305129919,0.575294541543695,0.015625,0.0078125
7,4.9609375,4.96875,4.96484375,0.575294541543695,-0.504782305129919,0.0374040646671912,0.0078125,0.00390625
8,4.96484375,4.96875,4.966796875,0.0374040646671912,-0.504782305129919,-0.233150549998545,0.00390625,0.001953125
9,4.96484375,4.966796875,4.9658203125,0.0374040646671912,-0.233150549998545,-0.097738798382859,0.001953125,0.0009765625
10,4.96484375,4.9658203125,4.96533203125,0.0374040646671912,-0.097738798382859,-0.0301337805432444,0.0009765625,0.00048828125
11,4.96484375,4.96533203125,4.965087890625,0.0374040646671912,-0.0301337805432444,0.00364353554787478,0.00048828125,0.000244140625
12,4.965087890625,4.96533203125,4.9652099609375,0.00364353554787478,-0.0301337805432444,-0.0132430237396957,0.000244140625,0.0001220703125
13,4.965087890625,4.9652099609375,4.96514892578125,0.00364353554787478,-0.0132430237396957,-0.00479921945473283,0.0001220703125,6.103515625e-05
14,4.965087890625,4.96514892578125,4.96511840820313,0.00364353554787478,-0.00479921945473283,-0.000577710799174014,6.103515625e-05,3.0517578125e-05
15,4.965087890625,4.96511840820313,4.96510314941406,0.00364353554787478,-0.000577710799174014,0.00153294516215929,3.0517578125e-05,1.52587890625e-05
16,4.96510314941406,4.96511840820313,4.96511077880859,0.00153294516215929,-0.000577710799174014,0.000477625378539237,1.52587890625e-05,7.62939453125e-06
17,4.96511077880859,4.96511840820313,4.96511459350586,0.000477625378539237,-0.000577710799174014,-5.00406610441928e-05,7.62939453125e-06,3.814697265625e-06
18,4.96511077880859,4.96511459350586,4.96511268615723,0.000477625378539237,-5.00406610441928e-05,0.000213792871064378,3.814697265625e-06,1.9073486328125e-06
19,4.96511268615723,4.96511459350586,4.96511363983154,0.000213792871064378,-5.00406610441928e-05,8.18762330894174e-05,1.9073486328125e-06,9.5367431640625e-07
20,4.96511363983154,4.96511459350586,4.9651141166687,8.18762330894174e-05,-5.00406610441928e-05,1.59178180432207e-05,9.5367431640625e-07,4.76837158203125e-07
21,4.9651141166687,4.96511459350586,4.96511435508728,1.59178180432207e-05,-5.00406610441928e-05,-1.7061413495334e-05,4.76837158203125e-07,2.38418579101563e-07
